id,title,price,dateOfreadiness,discount_price,label,slug,description,media,media_type,height,width,available,category_id
130,Торт свадебный с бабочками,1999,2,,P,tort-svadebnyj-s-babochkami,цена за 1кг. (с учетом декора),tort-svadebnyj-s-babochkami.jpg,image,1215,778,t,3
132,Торт Фортнайт,1999,2,,P,tort-fortnajt,цена за 1кг. (с учетом декора),tort-fortnite.jpg,image,1603,1440,t,2
134,Торт Космос,1999,2,,P,tort-kosmos,цена за 1кг. (с учетом декора),cosmos.mp4,video,1920,1080,t,2
133,Торт с мишкой,1999,2,,P,tort-s-mishkoj,цена за 1кг. (с учетом декора),tort-s-mishkoj.jpg,image,1140,824,t,2
136,Торт Человек Паук с пряником,1999,2,,P,tort-chelovek-pauk-s-pryanikom,цена за 1кг. (с учетом декора),celovek-payk.png,image,647,544,t,2
137,Торт Феррари (Ferrari),1999,2,,P,tort-ferrari-ferrari,цена за 1кг. (с учетом декора),tort-ferrari.jpg,image,1534,1440,t,2
138,Торт с короной №2,1999,2,,P,tort-s-koronoj-2,цена за 1кг. (с учетом декора),tort-s-koronoj.jpg,image,1800,1440,t,2
139,Торт Чиаки Нанами,1999,2,,S,tort-chiaki-nanami,цена за 1кг. (с учетом декора),tort-chiaki-nanami.jpg,image,1838,1440,t,2
135,Торт Галактика,1999,2,,P,tort-galaktika,цена за 1кг. (с учетом декора),tort-galaktik.jpg,image,815,564,t,6
140,Торт Галактика с розовым оттенком,1999,2,,P,tort-galaktika-s-rozovym-ottenkom,цена за 1кг. (с учетом декора),tort-galaktika-s-rozovym-ottenkom.jpg,image,827,564,t,6
141,Торт мраморный с цветами,1999,3,,P,tort-mramornyj-s-cvetami,цена за 1кг. (с учетом декора),tort-mramornyj-s-cvetami.jpg,image,1265,766,t,3
142,Детский торт Единорог с Шариками,1999,2,,P,detskij-tort-edinorog-s-sharikami,цена за 1кг. (с учетом декора),tort-edinorog-s-sharikami.jpg,image,1025,850,t,2
143,Детский торт для новорожденного без мастики,1999,2,,P,detskij-tort-dlya-novorozhdennogo-bez-mastiki,цена за 1кг. (с учетом декора),detskij-tort-dlya-novorozhdennogo-bez-mastiki.jpg,image,1544,1142,t,2
144,Торты Супергерои «КОМИКСЫ»,1999,2,,P,torty-supergeroi-komiksy,цена за 1кг. (с учетом декора),torty-supergeroi-komiksy.jpg,image,1531,1241,t,2
146,Торт с бабочками без мастики,1999,,,P,tort-s-babochkami-bez-mastiki,цена за 1кг. (с учетом декора),tort-s-babochkami.jpg,image,1063,864,t,2
148,Торт с гранатовой жеодой,1999,2,,P,tort-s-granatovoj-zheodoj,цена за 1кг. (с учетом декора),tort-s-granatovoj-zheodoj.jpg,image,1800,1440,t,2
149,Ягодный торт 2 ярусный,1999,2,,P,yagodnyj-tort-2-yarusnyj,цена за 1кг. (с учетом декора),yagodnyj-tort-2-yrusa.jpg,image,1406,1152,t,3
150,Детский торт без мастики с русалочкой,1999,2,,P,detskij-tort-bez-mastiki-s-rusalochkoj,цена за 1кг. (с учетом декора),detskij-tort-bez-mastiki-s-rusalochkoj.jpg,image,1613,1135,t,2
151,Торт океан,1990,2,,P,tort-okean,цена за 1кг. (с учетом декора),tort-okean.jpg,image,1799,1440,t,2
152,Детский торт Poopsie,1999,2,,P,detskij-tort-poopsie,цена за 1кг. (с учетом декора),detskij-tort-poopsie.jpg,image,1756,1440,t,2
155,Детский торт Молния маквин,1999,2,,P,detskij-tort-molniya-makvin,цена за 1кг. (с учетом декора),detskij-tort-molniya-makvin.jpg,image,1800,1440,t,2
156,Детский торт Наруто,1999,2,,S,detskij-tort-naruto,цена за 1кг. (с учетом декора),detskij-tort-naruto.jpg,image,1800,1440,t,2
157,Детские торты на 1 годик,1999,2,,P,detskie-torty-na-1-godik,цена за 1кг. (с учетом декора),detskie-torty-na-1-godik.jpg,image,1612,1440,t,2
153,Детский торт паровозик томас,1999,2,,P,detskij-tort-parovozik-tomas,цена за 1кг. (с учетом декора),s-parovozikom.png,image,1583,1000,t,2
159,Торт с  разноцветной посыпкой,1800,2,,P,tort-s-raznocvetnoj-posypkoj,цена за 1кг. (с учетом декора),tort-s-raznocvetnoj-posypkoj.jpg,image,1440,1594,t,2
145,Детский торт Холодное сердце,1999,2,,P,detskij-tort-holodnoe-serdce,цена за 1кг. (с учетом декора),detskij-tort-holodnoe-serdce.jpg,image,1260,1008,t,2
129,Торт с кошками,1999,2,,P,tort-s-koshkami,цена за 1кг. (с учетом декора),tort-s-koshechkami.jpg,image,1455,1289,t,2
158,Детский торт Эльза,2000,2,,P,detskij-tort-elza,цена за 1кг. (с учетом декора),frozen.mp4,video,1920,1080,t,2
160,Холодное сердце снежинки,1800,2,,P,holodnoe-serdce-snezhinki,цена за 1кг. (с учетом декора),holodnoe-serdce-snezhinki.jpg,image,827,564,t,2
